File Layout: roomID|puzzleType|puzzleQuestion|optionA|optionB|optionC|optionD|correctAnswer|isSolved

5|Quiz|1. What color do you get when you mix red and blue?|Green|Purple|Orange|Yellow|B|false
5|Quiz|2. What shape has three sides?|Circle|Triangle|Square|Rectangle|B|false
5|Quiz|3. In what year was Vincent van Gogh's 'Starry Night' painted?|1879|1889|1899|1909|B|false

5|Quiz|1. Which element of art refers to the lightness or darkness of a color?|Texture|Value|Form|Line|B|false  
5|Quiz|2. What primary colors are used to make green?|Red and Blue|Yellow and Blue|Red and Yellow|Blue and Purple|B|false
5|Quiz|3. What is the term for a painting created with water-based pigments?|Oil Painting|Fresco|Watercolor|Etching|C|false 

5|Exam|1. What color do you get when you mix yellow and blue?|Orange|Green|Purple|Red|B|false
5|Exam|2. In what year was Vincent van Gogh's 'Starry Night' painted?|1879|1889|1899|1909|B|false

6|Quiz|1. What is the 2 + 2?|1|2|3|None of the above|D|false
6|Quiz|2. What is the value of the integral of sin(x) from 0 to pi??|0|2|5|Undefined|B|false
6|Quiz|3. What is 5 - 3?|1|2|3|4|B|false

6|Quiz|1. What is 10 ÷ 2?|2|5|10|20|B|false
6|Quiz|2. What is the square root of 64?|6|7|8|9|C|false 
6|Quiz|3. Solve for x: 2x + 3 = 7.|1|2|3|4|B|false

6|Exam|1. What is 5 + 3?|8|7|6|None of the above|A|false
6|Exam|2. What is the value of the integral of sin(x) from 0 to pi??|0|2|5|Undefined|B|false

12|Quiz|1. What keyword is used to define a class in Java?|function|define|class|method|C|false
12|Quiz|2. What is the output of 'System.out.println("Hello");' in Java?|"Hello"|Hello|Error|None of the above|B|false
12|Quiz|3. What does OOP stand for?|Object-Oriented Programming|Object-Originated Programming|Ordered Operations Programming|Optimized Object Programming|A|false

12|Quiz|1. What symbol is used for single-line comments in Java?|#|//|/*|--|B|false  
12|Quiz|2. What is the extension of a Java file?|.java|.class|.js|.py|A|false
12|Quiz|3. Which symbol is used to end a statement in Java?|.|,|;|:|C|false  

12|Exam|1.What does MVC stand for in software design?|Model-View-Controller|Model-Visual-Component|Method-View-Component|Main-View-Controller|A|false
12|Exam|2. What does OOP stand for?|Object-Oriented Programming|Object-Originated Programming|Ordered Operations Programming|Optimized Object Programming|A|false
